TTFVM,SUS,QualityPerTime,Group
37,77.5,0.02,Novice
67,42.5,0.01,Novice
58,85,0.02,Experienced
47,77.5,0.02,Novice
35,70,0.02,Experienced
45,70,0.02,Experienced
57,55,0.01,Novice
65,45,0.01,Novice
47,90,0.02,Experienced
51,75,0.01,Experienced
42,85,0.01,Novice
35,85,0.03,Novice
71,87.5,0.01,Experienced
90,55,0.01,Experienced
34,67.5,0.02,Experienced
70,77.5,0.01,Experienced
63,65,0.01,Novice
45,85,0.02,Novice
43,85,0.01,Novice
41,70,0.01,Experienced
